Date,Media,Tweet,Compound,Positive,Negative,Neutral,Tweets Ago
Sun Jan 07 01:39:13 +0000 2018,@nytimes,"With floor-to-ceiling windows looking out over a steep lot, the airy home has the feeling of a treehouse https://t.co/yVW6F8gLdh",0.128,0.086,0.0,0.914,58
Sun Jan 07 01:22:59 +0000 2018,@nytimes,Want to be more well read in 2018? Sync your calendar to keep up with the latest and greatest in books.… https://t.co/QLfpsPnR1U,0.7841,0.293,0.0,0.707,59
Sun Jan 07 01:05:58 +0000 2018,@nytimes,"Where pot entrepreneurs go when the banks just say no
https://t.co/GVxsuIkIQS",-0.296,0.0,0.18,0.82,60
Wed Jan 03 16:52:08 +0000 2018,@nytimes,"Tracking jihadists on the road to violence is, perhaps, the hardest part of terror investigations. But Akhror Saida… https://t.co/wDOuXQp7pP",-0.8176,0.0,0.306,0.694,61
Wed Jan 03 16:42:03 +0000 2018,@nytimes,RT @jonathanmahler: To save the subway will cost at least $100 billion. To not save it would be a historic act of self-destruction for New…,0.7506,0.225,0.0,0.775,62
Wed Jan 03 16:32:06 +0000 2018,@nytimes,"Meryl Streep: ""I don't want to hear about the silence of me. I want to hear about the silence of Melania Trump. I w… https://t.co/pdF16ICu8Y",-0.1139,0.0,0.104,0.896,63
Wed Jan 03 16:23:30 +0000 2018,@nytimes,RT @nytopinion: The founders of Fusion GPS say there are credible allegations of collusion between the Trump campaign and Russia https://t.…,0.0,0.0,0.0,1.0,64
Wed Jan 03 16:22:03 +0000 2018,@nytimes,Where do drug-treatment centers make big money? The lowly urine test. https://t.co/XwREupFaXr,-0.25,0.0,0.154,0.846,65
Wed Jan 03 16:14:06 +0000 2018,@nytimes,"President Trump kicked off the new year with a barrage of tweets. They can be read, in part, as an outline of his a… https://t.co/NOQsMDD4oY",0.0,0.0,0.0,1.0,66
Wed Jan 03 16:07:45 +0000 2018,@nytimes,"Fred Bass, who turned the Strand into a Manhattan mecca that boasts of ""18 miles of books,"" has died at 89 https://t.co/XnYAiMHkXf",-0.5574,0.0,0.153,0.847,67
Wed Jan 03 15:57:03 +0000 2018,@nytimes,"One woman, Ash Thayer, said Roma placed his penis in her mouth before she pushed him away and left. ""I froze,"" she… https://t.co/sqTUfaTQS5",0.0,0.0,0.0,1.0,68
Wed Jan 03 15:55:13 +0000 2018,@nytimes,Five women say the photographer Thomas Roma sexually harassed them in the 1990s at Columbia University and the Scho… https://t.co/W208Q5zOg5,-0.5423,0.0,0.156,0.844,69
Wed Jan 03 15:49:31 +0000 2018,@nytimes,"Thomas Monson, the president of the Mormon church who rebuffed demands to ordain women as priests and refused to al… https://t.co/hFdvYkLVB2",-0.296,0.0,0.099,0.901,70
Wed Jan 03 15:42:09 +0000 2018,@nytimes,North Korea reopened a border hotline with South Korea after nearly 2 years https://t.co/Z9OzDfzQ3u,0.0,0.0,0.0,1.0,71
Wed Jan 03 15:32:09 +0000 2018,@nytimes,This diary from the Gulag is believed to be the only one written inside the camps to have survived… https://t.co/ckivbSIiWW,0.0,0.0,0.0,1.0,72
Wed Jan 03 15:22:31 +0000 2018,@nytimes,It's snowing in Florida https://t.co/hH4fyplZFF,0.0,0.0,0.0,1.0,73
Wed Jan 03 15:20:07 +0000 2018,@nytimes,RT @UpshotNYT: The idea that owning property gives you the right to influence what happens nearby is deeply embedded in American life. http…,0.0,0.0,0.0,1.0,74
Wed Jan 03 15:11:06 +0000 2018,@nytimes,"Orchestrated, pro-government rallies were held throughout Iran on Wednesday https://t.co/8HdJE2YP8V",0.0,0.0,0.0,1.0,75
Wed Jan 03 15:00:36 +0000 2018,@nytimes,Morning Briefing: Here's what you need to know to start your day https://t.co/94FkRcBbfV https://t.co/bZyCa6Eox9,0.0,0.0,0.0,1.0,76
Wed Jan 03 14:45:03 +0000 2018,@nytimes,President Trump kicked off the new year with a barrage of tweets castigating his enemies and political foes and com… https://t.co/7vIrCqQ0Rh,-0.7351,0.0,0.256,0.744,77
Wed Jan 03 14:31:03 +0000 2018,@nytimes,A Canadian man who was held hostage with his family in Afghanistan for 5 years has been arrested. He faces 15 crimi… https://t.co/2p2FX170Va,-0.4767,0.0,0.134,0.866,78
Wed Jan 03 14:15:11 +0000 2018,@nytimes,"Months after a busy hurricane season, a winter storm is expected to bring frigid wind, freezing rain and possibly e… https://t.co/0vIk85CmXz",-0.1027,0.0,0.072,0.928,79
Wed Jan 03 14:00:35 +0000 2018,@nytimes,"Orrin Hatch, the longest-serving GOP senator, plans to retire. His exit leaves an opening in Utah for Mitt Romney,… https://t.co/hoKWxGiLwa",0.0,0.0,0.0,1.0,80
Sat Dec 30 20:33:04 +0000 2017,@nytimes,"It's been 100 days since Hurricane Maria slammed Puerto Rico, and about half of the island still doesn't have power https://t.co/lsxkg2I2v3",0.0,0.0,0.0,1.0,81
